DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,    
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,1995,43976.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,1996,47058.5,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,1997,52582.9,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,1998,59252.9,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,1999,71421.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2000,85811.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2001,100850.7,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2002,110016.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2003,115544.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2004,121721.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2005,127845.9,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2006,134750.6,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2007,141602.5,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2008,146990.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2009,150277.6,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2010,152598.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2011,152994.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2012,155294.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2013,155719.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2014,154960.3,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2015,156176.9,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2016,157762.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2017,161924.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2018,162148.7,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2019,163925.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2020,165574.3,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2021,169240.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CLV10_MEUR,CP083,EU27_2020,2022,174510.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,1995,57388.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,1996,62752.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,1997,68382.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,1998,75823.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,1999,86306.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2000,96901.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2001,111240.2,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2002,121203.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2003,126366.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2004,132884.6,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2005,139051.6,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2006,143020.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2007,147957.7,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2008,151907.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2009,151075.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2010,152598.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2011,150180.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2012,146302.8,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2013,139184.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2014,133945.7,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2015,133386.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2016,135441.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2017,138165.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2018,138153.1,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2019,137994.4,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2020,138130.0,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2021,142067.5,
ESTAT:NAMA_10_CO3_P3(1.0),24/10/24 23:00:00,A,CP_MEUR,CP083,EU27_2020,2022,146621.4,
